#
# Resonance parameters for Z=  56 A= 136 (136Ba) Target spin= 0.0
# Thermal capture cross section= 6.70000E+02 mb   Sn= 6.90561E+00 MeV
#
#  Einc[MeV]= 1.00000E-03
# Rprime[fm]= 4.39731E+00
# l   J      D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV]
# l   J      D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV]
  0  0.5   1.06746E+03 1.06746E+03 1.51966E+00 1.51966E+00 0.00000E+00 1.62217E-01 8.93427E-02 0.00000E+00
  1  0.5   3.68552E+02 1.06746E+03 8.52609E-01 1.04415E+00 0.00000E+00 1.11459E-01 1.25113E-01 0.00000E+00
  1  1.5   3.68552E+02 5.62899E+02 8.52609E-01 7.88761E-01 0.00000E+00 4.43993E-02 1.04983E-01 0.00000E+00
  2  1.5   2.37239E+02 5.62899E+02 1.18816E+00 8.57749E-01 0.00000E+00 4.82826E-02 8.71122E-02 0.00000E+00
  2  2.5   2.37239E+02 4.10065E+02 1.18816E+00 1.38641E+00 0.00000E+00 5.68520E-02 8.41183E-02 0.00000E+00
#
#  Einc[MeV]= 2.00000E-01
# Rprime[fm]= 4.37994E+00
# l   J      D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV]
  0  0.5   9.42269E+02 9.42269E+02 1.40332E+00 1.40332E+00 0.00000E+00 1.32230E-01 9.26879E-02 0.00000E+00
  1  0.5   3.25231E+02 9.42269E+02 7.95583E-01 9.58763E-01 0.00000E+00 9.03413E-02 1.27942E-01 0.00000E+00
  1  1.5   3.25231E+02 4.96655E+02 7.95583E-01 7.41189E-01 0.00000E+00 3.68115E-02 1.08139E-01 0.00000E+00
  2  1.5   2.09228E+02 4.96655E+02 1.29827E+00 9.24989E-01 0.00000E+00 4.59401E-02 9.05327E-02 0.00000E+00
  2  2.5   2.09228E+02 3.61532E+02 1.29827E+00 1.52224E+00 0.00000E+00 5.50337E-02 8.75377E-02 0.00000E+00
#
#  Einc[MeV]= 5.00000E-01
# Rprime[fm]= 5.05645E+00
# l   J      D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV]
  0  0.5   6.50571E+02 6.50571E+02 1.20147E+00 1.20147E+00 0.00000E+00 7.81642E-02 1.03409E-01 0.00000E+00
  1  0.5   2.24357E+02 6.50571E+02 6.91748E-01 8.07387E-01 0.00000E+00 5.25263E-02 1.37190E-01 0.00000E+00
  1  1.5   2.24357E+02 3.42458E+02 6.91748E-01 6.53202E-01 0.00000E+00 2.23694E-02 1.18345E-01 0.00000E+00
  2  1.5   1.44087E+02 3.42458E+02 1.67266E+00 1.15319E+00 0.00000E+00 3.94919E-02 1.01491E-01 0.00000E+00
  2  2.5   1.44087E+02 2.48745E+02 1.67266E+00 1.98435E+00 0.00000E+00 4.93597E-02 9.84966E-02 0.00000E+00
#
#  Einc[MeV]= 1.00000E+00
# Rprime[fm]= 5.69182E+00
# l   J      D(l)[eV]   D(l,J)[eV]    S(l)        S(l,J)   Gx(l,J)[eV] Gn(l,J)[eV] Gg(l,J)[eV] Gf(l,J)[eV]
  0  0.5   3.55127E+02 3.55127E+02 1.01841E+00 1.01841E+00 1.07684E+00 3.61665E-02 1.23776E-01 0.00000E+00
  1  0.5   1.22311E+02 3.55127E+02 6.03162E-01 6.82461E-01 4.19170E+00 2.42360E-02 1.55350E-01 0.00000E+00
  1  1.5   1.22311E+02 1.86567E+02 6.03162E-01 5.76729E-01 5.21835E+00 1.07598E-02 1.37976E-01 0.00000E+00
  2  1.5   7.83465E+01 1.86567E+02 2.11990E+00 1.47886E+00 1.11611E+01 2.75906E-02 1.22256E-01 0.00000E+00
  2  2.5   7.83465E+01 1.35066E+02 2.11990E+00 2.50453E+00 8.95660E+00 3.38276E-02 1.19261E-01 0.00000E+00
#
