##
## Parameters for 239U 
##
## Level density
##
Pshiftadjust     90 234   0.00000   0
deltaW           90 234   3.62573   0
T                90 234   0.31642   0
E0               90 234   0.91495   0
Exmatch          90 234   3.59396   0
Tadjust          90 234   1.00000   0
E0adjust         90 234   1.00000   0
Exmatchadjust    90 234   1.00000   0
Ntop             90 234  12   0
Nlow             90 234   8   0
s2adjust         90 234   1.00000   0
ctable           90 234   0.00000
ptable           90 234   0.00000
Krotconstant     90 234   1.00000   0
Pshift           90 234   0.00000   1
Pshiftadjust     90 234   0.00000   1
deltaW           90 234   2.41715   1
T                90 234   0.49019   1
E0               90 234  -1.08523   1
Exmatch          90 234   6.65765   1
Tadjust          90 234   1.00000   1
E0adjust         90 234   1.00000   1
Exmatchadjust    90 234   1.00000   1
Ntop             90 234  39   1
Nlow             90 234   2   1
s2adjust         90 234   1.00000   1
ctable           90 234   0.00000
ptable           90 234   0.00000
Krotconstant     90 234   1.00000   1
Pshift           90 234   0.00000   2
Pshiftadjust     90 234   0.00000   2
deltaW           90 234   2.41715   2
T                90 234   0.48069   2
E0               90 234  -0.91483   2
Exmatch          90 234   6.44841   2
Tadjust          90 234   1.00000   2
E0adjust         90 234   1.00000   2
Exmatchadjust    90 234   1.00000   2
Ntop             90 234  14   2
Nlow             90 234   2   2
s2adjust         90 234   1.00000   2
ctable           90 234   0.00000
ptable           90 234   0.00000
Krotconstant     90 234   1.00000   2
g                90 234  15.60000
gp               90 234   6.00000
gn               90 234   9.60000
gnadjust         90 234   1.00000
gpadjust         90 234   1.00000
##
## Gamma-ray
##
gamgam           90 234   0.03000
gamgamadjust     90 234   1.00000
sgr              90 234 690.623 E1
egr              90 234  13.362 E1
ggr              90 234   3.676 E1
sgradjust        90 234   1.000 E1
egradjust        90 234   1.000 E1
ggradjust        90 234   1.000 E1
sgr              90 234   1.085 M1
egr              90 234   6.653 M1
ggr              90 234   4.000 M1
sgradjust        90 234   1.000 M1
egradjust        90 234   1.000 M1
ggradjust        90 234   1.000 M1
sgr              90 234   0.570 E2
egr              90 234  10.224 E2
ggr              90 234   3.302 E2
sgradjust        90 234   1.000 E2
egradjust        90 234   1.000 E2
ggradjust        90 234   1.000 E2
sgr              90 234   0.001 M2
egr              90 234   6.653 M2
ggr              90 234   4.000 M2
sgradjust        90 234   1.000 M2
egradjust        90 234   1.000 M2
ggradjust        90 234   1.000 M2
##
## Fission parameters
##
fisbar           90 234   4.90000  1
fishw            90 234   1.00000  1
fisbaradjust     90 234   1.00000  1
fishwadjust      90 234   1.00000  1
class2width      90 234   0.20000  1
Rtransmom        90 234   0.60000  1
Rclass2mom       90 234   1.00000  1
fisbar           90 234   7.50000  2
fishw            90 234   0.60000  2
fisbaradjust     90 234   1.00000  2
fishwadjust      90 234   1.00000  2
Rtransmom        90 234   1.00000  2
Rclass2mom       90 234   1.00000  2
##--------------------------------------------
##
## Parameters for 236U 
##
## Level density
##
a                92 236  29.94375
aadjust          92 236   1.00000
gammald          92 236   0.07427
pair             92 236   1.56227
Pshift           92 236   0.00000   0
Pshiftadjust     92 236   0.00000   0
deltaW           92 236   2.75503   0
T                92 236   0.47609   0
E0               92 236  -1.48715   0
Exmatch          92 236   8.40342   0
Tadjust          92 236   1.00000   0
E0adjust         92 236   1.00000   0
Exmatchadjust    92 236   1.00000   0
Ntop             92 236  17   0
Nlow             92 236   4   0
s2adjust         92 236   1.00000   0
ctable           92 236   0.00000
ptable           92 236   0.00000
Krotconstant     92 236   1.00000   0
Pshift           92 236   0.00000   1
Pshiftadjust     92 236   0.00000   1
deltaW           92 236   1.83669   1
T                92 236   0.90857   1
E0               92 236  -2.99150   1
Exmatch          92 236  11.03055   1
Tadjust          92 236   1.00000   1
E0adjust         92 236   1.00000   1
Exmatchadjust    92 236   1.00000   1
Ntop             92 236  39   1
Nlow             92 236   2   1
s2adjust         92 236   1.00000   1
ctable           92 236   0.00000
ptable           92 236   0.00000
Krotconstant     92 236   1.00000   1
Pshift           92 236   0.00000   2
Pshiftadjust     92 236   0.00000   2
deltaW           92 236   1.83669   2
T                92 236   0.87460   2
E0               92 236  -2.42556   2
Exmatch          92 236  10.23217   2
Tadjust          92 236   1.00000   2
E0adjust         92 236   1.00000   2
Exmatchadjust    92 236   1.00000   2
Ntop             92 236  14   2
Nlow             92 236   2   2
s2adjust         92 236   1.00000   2
ctable           92 236   0.00000
ptable           92 236   0.00000
Krotconstant     92 236   1.00000   2
D0               92 236 4.30000E-04
g                92 236  15.73333
gp               92 236   6.13333
gn               92 236   9.60000
gnadjust         92 236   1.00000
gpadjust         92 236   1.00000
##
## Gamma-ray
##
gamgam           92 236   0.03500
gamgamadjust     92 236   1.00000
sgr              92 236 271.000 E1
egr              92 236  10.920 E1
ggr              92 236   2.550 E1
sgradjust        92 236   1.000 E1
egradjust        92 236   1.000 E1
ggradjust        92 236   1.000 E1
sgr              92 236 415.000 E1 2
egr              92 236  13.780 E1 2
ggr              92 236   4.880 E1 2
sgradjust        92 236   1.000 E1 2
egradjust        92 236   1.000 E1 2
ggradjust        92 236   1.000 E1 2
sgr              92 236   1.938 M1
egr              92 236   6.635 M1
ggr              92 236   4.000 M1
sgradjust        92 236   1.000 M1
egradjust        92 236   1.000 M1
ggradjust        92 236   1.000 M1
sgr              92 236   0.596 E2
egr              92 236  10.195 E2
ggr              92 236   3.278 E2
sgradjust        92 236   1.000 E2
egradjust        92 236   1.000 E2
ggradjust        92 236   1.000 E2
sgr              92 236   0.002 M2
egr              92 236   6.635 M2
ggr              92 236   4.000 M2
sgradjust        92 236   1.000 M2
egradjust        92 236   1.000 M2
ggradjust        92 236   1.000 M2
##
## Fission parameters
##
fisbar           92 236   5.00000  1
fishw            92 236   0.90000  1
fisbaradjust     92 236   1.00000  1
fishwadjust      92 236   1.00000  1
class2width      92 236   0.20000  1
Rtransmom        92 236   0.60000  1
Rclass2mom       92 236   1.00000  1
fisbar           92 236   5.67000  2
fishw            92 236   0.60000  2
fisbaradjust     92 236   1.00000  2
fishwadjust      92 236   1.00000  2
Rtransmom        92 236   1.00000  2
Rclass2mom       92 236   1.00000  2
##--------------------------------------------
##
## Parameters for 234Pa
##
## Level density
##
a                91 234  30.25610
aadjust          91 234   1.00000
gammald          91 234   0.07449
pair             91 234   0.00000
Pshift           91 234   0.00000   0
Pshiftadjust     91 234   0.00000   0
deltaW           91 234   3.11216   0
T                91 234   0.33367   0
E0               91 234  -0.74954   0
Exmatch          91 234   2.21828   0
Tadjust          91 234   1.00000   0
E0adjust         91 234   1.00000   0
Exmatchadjust    91 234   1.00000   0
Ntop             91 234  10   0
Nlow             91 234   2   0
s2adjust         91 234   1.00000   0
ctable           91 234   0.00000
ptable           91 234   0.00000
Krotconstant     91 234   1.00000   0
Pshift           91 234   0.00000   1
Pshiftadjust     91 234   0.00000   1
deltaW           91 234   2.07477   1
T                91 234   0.33367   1
E0               91 234  -0.56769   1
Exmatch          91 234   2.04491   1
Tadjust          91 234   1.00000   1
E0adjust         91 234   1.00000   1
Exmatchadjust    91 234   1.00000   1
Ntop             91 234  21   1
Nlow             91 234   2   1
s2adjust         91 234   1.00000   1
ctable           91 234   0.00000
ptable           91 234   0.00000
Krotconstant     91 234   1.00000   1
Pshift           91 234   0.00000   2
Pshiftadjust     91 234   0.00000   2
deltaW           91 234   2.07477   2
T                91 234   0.33367   2
E0               91 234  -0.34358   2
Exmatch          91 234   3.75120   2
Tadjust          91 234   1.00000   2
E0adjust         91 234   1.00000   2
Exmatchadjust    91 234   1.00000   2
Ntop             91 234  28   2
Nlow             91 234   2   2
s2adjust         91 234   1.00000   2
ctable           91 234   0.00000
ptable           91 234   0.00000
Krotconstant     91 234   1.00000   2
D0               91 234 6.00000E-04
g                91 234  15.60000
gp               91 234   6.06667
gn               91 234   9.53333
gnadjust         91 234   1.00000
gpadjust         91 234   1.00000
##
## Gamma-ray
##
gamgam           91 234   0.04700
gamgamadjust     91 234   1.00000
sgr              91 234 693.448 E1
egr              91 234  13.362 E1
ggr              91 234   3.676 E1
sgradjust        91 234   1.000 E1
egradjust        91 234   1.000 E1
ggradjust        91 234   1.000 E1
sgr              91 234   1.089 M1
egr              91 234   6.653 M1
ggr              91 234   4.000 M1
sgradjust        91 234   1.000 M1
egradjust        91 234   1.000 M1
ggradjust        91 234   1.000 M1
sgr              91 234   0.583 E2
egr              91 234  10.224 E2
ggr              91 234   3.302 E2
sgradjust        91 234   1.000 E2
egradjust        91 234   1.000 E2
ggradjust        91 234   1.000 E2
sgr              91 234   0.001 M2
egr              91 234   6.653 M2
ggr              91 234   4.000 M2
sgradjust        91 234   1.000 M2
egradjust        91 234   1.000 M2
ggradjust        91 234   1.000 M2
##
## Fission parameters
##
fisbar           91 234   6.30000  1
fishw            91 234   0.60000  1
fisbaradjust     91 234   1.00000  1
fishwadjust      91 234   1.00000  1
class2width      91 234   0.20000  1
Rtransmom        91 234   0.60000  1
Rclass2mom       91 234   1.00000  1
fisbar           91 234   6.15000  2
fishw            91 234   0.40000  2
fisbaradjust     91 234   1.00000  2
fishwadjust      91 234   1.00000  2
Rtransmom        91 234   1.00000  2
Rclass2mom       91 234   1.00000  2
##--------------------------------------------
##
## Parameters for 233Th
##
## Level density
##
a                90 233  31.08391
aadjust          90 233   1.00000
gammald          90 233   0.07459
pair             90 233   0.78615
Pshift           90 233   0.00000   0
Pshiftadjust     90 233   0.00000   0
deltaW           90 233   3.55462   0
T                90 233   0.41176   0
E0               90 233  -0.97562   0
Exmatch          90 233   4.46538   0
Tadjust          90 233   1.00000   0
E0adjust         90 233   1.00000   0
Exmatchadjust    90 233   1.00000   0
Ntop             90 233  16   0
Nlow             90 233   7   0
s2adjust         90 233   1.00000   0
ctable           90 233   0.00000
ptable           90 233   0.00000
Krotconstant     90 233   1.00000   0
Pshift           90 233   0.00000   1
Pshiftadjust     90 233   0.00000   1
deltaW           90 233   2.36975   1
T                90 233   0.49260   1
E0               90 233  -1.87428   1
Exmatch          90 233   5.89433   1
Tadjust          90 233   1.00000   1
E0adjust         90 233   1.00000   1
Exmatchadjust    90 233   1.00000   1
Ntop             90 233   9   1
Nlow             90 233   2   1
s2adjust         90 233   1.00000   1
ctable           90 233   0.00000
ptable           90 233   0.00000
Krotconstant     90 233   1.00000   1
Pshift           90 233   0.00000   2
Pshiftadjust     90 233   0.00000   2
deltaW           90 233   2.36975   2
T                90 233   0.52530   2
E0               90 233  -2.43345   2
Exmatch          90 233   6.63945   2
Tadjust          90 233   1.00000   2
E0adjust         90 233   1.00000   2
Exmatchadjust    90 233   1.00000   2
Ntop             90 233  17   2
Nlow             90 233   2   2
s2adjust         90 233   1.00000   2
ctable           90 233   0.00000
ptable           90 233   0.00000
Krotconstant     90 233   1.00000   2
D0               90 233 1.66000E-02
g                90 233  15.53333
gp               90 233   6.00000
gn               90 233   9.53333
gnadjust         90 233   1.00000
gpadjust         90 233   1.00000
##
## Gamma-ray
##
gamgam           90 233   0.02400
gamgamadjust     90 233   1.00000
sgr              90 233 687.477 E1
egr              90 233  13.375 E1
ggr              90 233   3.683 E1
sgradjust        90 233   1.000 E1
egradjust        90 233   1.000 E1
ggradjust        90 233   1.000 E1
sgr              90 233   1.078 M1
egr              90 233   6.663 M1
ggr              90 233   4.000 M1
sgradjust        90 233   1.000 M1
egradjust        90 233   1.000 M1
ggradjust        90 233   1.000 M1
sgr              90 233   0.569 E2
egr              90 233  10.238 E2
ggr              90 233   3.314 E2
sgradjust        90 233   1.000 E2
egradjust        90 233   1.000 E2
ggradjust        90 233   1.000 E2
sgr              90 233   0.001 M2
egr              90 233   6.663 M2
ggr              90 233   4.000 M2
sgradjust        90 233   1.000 M2
egradjust        90 233   1.000 M2
ggradjust        90 233   1.000 M2
##
## Fission parameters
##
fisbar           90 233   5.10000  1
fishw            90 233   0.70000  1
fisbaradjust     90 233   1.00000  1
fishwadjust      90 233   1.00000  1
class2width      90 233   0.20000  1
Rtransmom        90 233   0.60000  1
Rclass2mom       90 233   1.00000  1
fisbar           90 233   6.65000  2
fishw            90 233   0.50000  2
fisbaradjust     90 233   1.00000  2
fishwadjust      90 233   1.00000  2
Rtransmom        90 233   1.00000  2
Rclass2mom       90 233   1.00000  2
##--------------------------------------------
##
## Parameters for 234Ac
##
## Level density
##
a                89 234  32.14918
aadjust          89 234   1.00000
gammald          89 234   0.07449
pair             89 234   0.00000
Pshift           89 234   0.00000   0
Pshiftadjust     89 234   0.00000   0
deltaW           89 234   4.21877   0
T                89 234   0.31602   0
E0               89 234  -0.72811   0
Exmatch          89 234   2.10622   0
Tadjust          89 234   1.00000   0
E0adjust         89 234   1.00000   0
Exmatchadjust    89 234   1.00000   0
Ntop             89 234   1   0
Nlow             89 234   0   0
s2adjust         89 234   1.00000   0
ctable           89 234   0.00000
ptable           89 234   0.00000
Krotconstant     89 234   1.00000   0
Pshift           89 234   0.00000   1
Pshiftadjust     89 234   0.00000   1
deltaW           89 234   2.81251   1
T                89 234   0.31602   1
E0               89 234  -0.51521   1
Exmatch          89 234   1.89308   1
Tadjust          89 234   1.00000   1
E0adjust         89 234   1.00000   1
Exmatchadjust    89 234   1.00000   1
Ntop             89 234  21   1
Nlow             89 234   2   1
s2adjust         89 234   1.00000   1
ctable           89 234   0.00000
ptable           89 234   0.00000
Krotconstant     89 234   1.00000   1
Pshift           89 234   0.00000   2
Pshiftadjust     89 234   0.00000   2
deltaW           89 234   2.81251   2
T                89 234   0.31602   2
E0               89 234  -0.24058   2
Exmatch          89 234   3.75120   2
Tadjust          89 234   1.00000   2
E0adjust         89 234   1.00000   2
Exmatchadjust    89 234   1.00000   2
Ntop             89 234  28   2
Nlow             89 234   2   2
s2adjust         89 234   1.00000   2
ctable           89 234   0.00000
ptable           89 234   0.00000
Krotconstant     89 234   1.00000   2
g                89 234  15.60000
gp               89 234   5.93333
gn               89 234   9.66667
gnadjust         89 234   1.00000
gpadjust         89 234   1.00000
##
## Gamma-ray
##
gamgam           89 234   0.03000
gamgamadjust     89 234   1.00000
sgr              89 234 687.692 E1
egr              89 234  13.362 E1
ggr              89 234   3.676 E1
sgradjust        89 234   1.000 E1
egradjust        89 234   1.000 E1
ggradjust        89 234   1.000 E1
sgr              89 234   1.080 M1
egr              89 234   6.653 M1
ggr              89 234   4.000 M1
sgradjust        89 234   1.000 M1
egradjust        89 234   1.000 M1
ggradjust        89 234   1.000 M1
sgr              89 234   0.557 E2
egr              89 234  10.224 E2
ggr              89 234   3.302 E2
sgradjust        89 234   1.000 E2
egradjust        89 234   1.000 E2
ggradjust        89 234   1.000 E2
sgr              89 234   0.001 M2
egr              89 234   6.653 M2
ggr              89 234   4.000 M2
sgradjust        89 234   1.000 M2
egradjust        89 234   1.000 M2
ggradjust        89 234   1.000 M2
##
## Fission parameters
##
fisbar           89 234   5.00000  1
fishw            89 234   1.00000  1
fisbaradjust     89 234   1.00000  1
fishwadjust      89 234   1.00000  1
class2width      89 234   0.20000  1
Rtransmom        89 234   0.60000  1
Rclass2mom       89 234   1.00000  1
fisbar           89 234   8.80000  2
fishw            89 234   0.60000  2
fisbaradjust     89 234   1.00000  2
fishwadjust      89 234   1.00000  2
Rtransmom        89 234   1.00000  2
Rclass2mom       89 234   1.00000  2
##--------------------------------------------
##
## Parameters for 233Ac
##
## Level density
##
a                89 233  31.96945
aadjust          89 233   1.00000
gammald          89 233   0.07459
pair             89 233   0.78615
Pshift           89 233   0.00000   0
Pshiftadjust     89 233   0.00000   0
deltaW           89 233   4.26401   0
T                89 233   0.31639   0
E0               89 233   0.05635   0
Exmatch          89 233   2.89252   0
Tadjust          89 233   1.00000   0
E0adjust         89 233   1.00000   0
Exmatchadjust    89 233   1.00000   0
Ntop             89 233   1   0
Nlow             89 233   0   0
s2adjust         89 233   1.00000   0
ctable           89 233   0.00000
ptable           89 233   0.00000
Krotconstant     89 233   1.00000   0
Pshift           89 233   0.00000   1
Pshiftadjust     89 233   0.00000   1
deltaW           89 233   2.84267   1
T                89 233   0.31639   1
E0               89 233   0.27126   1
Exmatch          89 233   2.67923   1
Tadjust          89 233   1.00000   1
E0adjust         89 233   1.00000   1
Exmatchadjust    89 233   1.00000   1
Ntop             89 233   8   1
Nlow             89 233   2   1
s2adjust         89 233   1.00000   1
ctable           89 233   0.00000
ptable           89 233   0.00000
Krotconstant     89 233   1.00000   1
Pshift           89 233   0.00000   2
Pshiftadjust     89 233   0.00000   2
deltaW           89 233   2.84267   2
T                89 233   0.31639   2
E0               89 233   0.54718   2
Exmatch          89 233   4.54198   2
Tadjust          89 233   1.00000   2
E0adjust         89 233   1.00000   2
Exmatchadjust    89 233   1.00000   2
Ntop             89 233  10   2
Nlow             89 233   2   2
s2adjust         89 233   1.00000   2
ctable           89 233   0.00000
ptable           89 233   0.00000
Krotconstant     89 233   1.00000   2
g                89 233  15.53333
gp               89 233   5.93333
gn               89 233   9.60000
gnadjust         89 233   1.00000
gpadjust         89 233   1.00000
##
## Gamma-ray
##
gamgam           89 233   0.03000
gamgamadjust     89 233   1.00000
sgr              89 233 684.592 E1
egr              89 233  13.375 E1
ggr              89 233   3.683 E1
sgradjust        89 233   1.000 E1
egradjust        89 233   1.000 E1
ggradjust        89 233   1.000 E1
sgr              89 233   1.074 M1
egr              89 233   6.663 M1
ggr              89 233   4.000 M1
sgradjust        89 233   1.000 M1
egradjust        89 233   1.000 M1
ggradjust        89 233   1.000 M1
sgr              89 233   0.557 E2
egr              89 233  10.238 E2
ggr              89 233   3.314 E2
sgradjust        89 233   1.000 E2
egradjust        89 233   1.000 E2
ggradjust        89 233   1.000 E2
sgr              89 233   0.001 M2
egr              89 233   6.663 M2
ggr              89 233   4.000 M2
sgradjust        89 233   1.000 M2
egradjust        89 233   1.000 M2
ggradjust        89 233   1.000 M2
##
## Fission parameters
##
fisbar           89 233   4.60000  1
fishw            89 233   1.00000  1
fisbaradjust     89 233   1.00000  1
fishwadjust      89 233   1.00000  1
class2width      89 233   0.20000  1
Rtransmom        89 233   0.60000  1
Rclass2mom       89 233   1.00000  1
fisbar           89 233   8.50000  2
fishw            89 233   0.60000  2
fisbaradjust     89 233   1.00000  2
fishwadjust      89 233   1.00000  2
Rtransmom        89 233   1.00000  2
Rclass2mom       89 233   1.00000  2
##--------------------------------------------
##
## Parameters for 232Ac
##
## Level density
##
a                89 232  31.74336
aadjust          89 232   1.00000
gammald          89 232   0.07470
pair             89 232   0.00000
Pshift           89 232   0.00000   0
Pshiftadjust     89 232   0.00000   0
deltaW           89 232   4.12496   0
T                89 232   0.31958   0
E0               89 232  -0.73500   0
Exmatch          89 232   2.12710   0
Tadjust          89 232   1.00000   0
E0adjust         89 232   1.00000   0
Exmatchadjust    89 232   1.00000   0
Ntop             89 232  10   0
Nlow             89 232   2   0
s2adjust         89 232   1.00000   0
ctable           89 232   0.00000
ptable           89 232   0.00000
Krotconstant     89 232   1.00000   0
Pshift           89 232   0.00000   1
Pshiftadjust     89 232   0.00000   1
deltaW           89 232   2.74998   1
T                89 232   0.31958   1
E0               89 232  -0.52289   1
Exmatch          89 232   1.91741   1
Tadjust          89 232   1.00000   1
E0adjust         89 232   1.00000   1
Exmatchadjust    89 232   1.00000   1
Ntop             89 232  20   1
Nlow             89 232   2   1
s2adjust         89 232   1.00000   1
ctable           89 232   0.00000
ptable           89 232   0.00000
Krotconstant     89 232   1.00000   1
Pshift           89 232   0.00000   2
Pshiftadjust     89 232   0.00000   2
deltaW           89 232   2.74998   2
T                89 232   0.31958   2
E0               89 232  -0.25396   2
Exmatch          89 232   3.76052   2
Tadjust          89 232   1.00000   2
E0adjust         89 232   1.00000   2
Exmatchadjust    89 232   1.00000   2
Ntop             89 232  28   2
Nlow             89 232   2   2
s2adjust         89 232   1.00000   2
ctable           89 232   0.00000
ptable           89 232   0.00000
Krotconstant     89 232   1.00000   2
g                89 232  15.46667
gp               89 232   5.93333
gn               89 232   9.53333
gnadjust         89 232   1.00000
gpadjust         89 232   1.00000
##
## Gamma-ray
##
gamgam           89 232   0.03000
gamgamadjust     89 232   1.00000
sgr              89 232 681.481 E1
egr              89 232  13.388 E1
ggr              89 232   3.690 E1
sgradjust        89 232   1.000 E1
egradjust        89 232   1.000 E1
ggradjust        89 232   1.000 E1
sgr              89 232   1.067 M1
egr              89 232   6.672 M1
ggr              89 232   4.000 M1
sgradjust        89 232   1.000 M1
egradjust        89 232   1.000 M1
ggradjust        89 232   1.000 M1
sgr              89 232   0.556 E2
egr              89 232  10.253 E2
ggr              89 232   3.326 E2
sgradjust        89 232   1.000 E2
egradjust        89 232   1.000 E2
ggradjust        89 232   1.000 E2
sgr              89 232   0.001 M2
egr              89 232   6.672 M2
ggr              89 232   4.000 M2
sgradjust        89 232   1.000 M2
egradjust        89 232   1.000 M2
ggradjust        89 232   1.000 M2
##
## Fission parameters
##
fisbar           89 232   4.80000  1
fishw            89 232   1.00000  1
fisbaradjust     89 232   1.00000  1
fishwadjust      89 232   1.00000  1
class2width      89 232   0.20000  1
Rtransmom        89 232   0.60000  1
Rclass2mom       89 232   1.00000  1
fisbar           89 232   8.60000  2
fishw            89 232   0.60000  2
fisbaradjust     89 232   1.00000  2
fishwadjust      89 232   1.00000  2
Rtransmom        89 232   1.00000  2
Rclass2mom       89 232   1.00000  2
##--------------------------------------------
##
## Parameters for 232Ra
##
## Level density
##
a                88 232  32.25591
aadjust          88 232   1.00000
gammald          88 232   0.07470
pair             88 232   1.57568
Pshift           88 232   0.00000   0
Pshiftadjust     88 232   0.00000   0
deltaW           88 232   4.37539   0
T                88 232   0.31577   0
E0               88 232   0.84556   0
Exmatch          88 232   3.67772   0
Tadjust          88 232   1.00000   0
E0adjust         88 232   1.00000   0
Exmatchadjust    88 232   1.00000   0
Ntop             88 232  10   0
Nlow             88 232   2   0
s2adjust         88 232   1.00000   0
ctable           88 232   0.00000
ptable           88 232   0.00000
Krotconstant     88 232   1.00000   0
Pshift           88 232   0.00000   1
Pshiftadjust     88 232   0.00000   1
deltaW           88 232   2.91693   1
T                88 232   0.31577   1
E0               88 232   1.06397   1
Exmatch          88 232   3.46053   1
Tadjust          88 232   1.00000   1
E0adjust         88 232   1.00000   1
Exmatchadjust    88 232   1.00000   1
Ntop             88 232  39   1
Nlow             88 232   2   1
s2adjust         88 232   1.00000   1
ctable           88 232   0.00000
ptable           88 232   0.00000
Krotconstant     88 232   1.00000   1
Pshift           88 232   0.00000   2
Pshiftadjust     88 232   0.00000   2
deltaW           88 232   2.91693   2
T                88 232   0.31577   2
E0               88 232   1.34423   2
Exmatch          88 232   5.33619   2
Tadjust          88 232   1.00000   2
E0adjust         88 232   1.00000   2
Exmatchadjust    88 232   1.00000   2
Ntop             88 232  13   2
Nlow             88 232   2   2
s2adjust         88 232   1.00000   2
ctable           88 232   0.00000
ptable           88 232   0.00000
Krotconstant     88 232   1.00000   2
g                88 232  15.46667
gp               88 232   5.86667
gn               88 232   9.60000
gnadjust         88 232   1.00000
gpadjust         88 232   1.00000
##
## Gamma-ray
##
gamgam           88 232   0.03000
gamgamadjust     88 232   1.00000
sgr              88 232 678.536 E1
egr              88 232  13.388 E1
ggr              88 232   3.690 E1
sgradjust        88 232   1.000 E1
egradjust        88 232   1.000 E1
ggradjust        88 232   1.000 E1
sgr              88 232   1.063 M1
egr              88 232   6.672 M1
ggr              88 232   4.000 M1
sgradjust        88 232   1.000 M1
egradjust        88 232   1.000 M1
ggradjust        88 232   1.000 M1
sgr              88 232   0.544 E2
egr              88 232  10.253 E2
ggr              88 232   3.326 E2
sgradjust        88 232   1.000 E2
egradjust        88 232   1.000 E2
ggradjust        88 232   1.000 E2
sgr              88 232   0.001 M2
egr              88 232   6.672 M2
ggr              88 232   4.000 M2
sgradjust        88 232   1.000 M2
egradjust        88 232   1.000 M2
ggradjust        88 232   1.000 M2
##
## Fission parameters
##
fisbar           88 232   4.50000  1
fishw            88 232   1.00000  1
fisbaradjust     88 232   1.00000  1
fishwadjust      88 232   1.00000  1
class2width      88 232   0.20000  1
Rtransmom        88 232   0.60000  1
Rclass2mom       88 232   1.00000  1
fisbar           88 232   9.50000  2
fishw            88 232   0.60000  2
fisbaradjust     88 232   1.00000  2
fishwadjust      88 232   1.00000  2
Rtransmom        88 232   1.00000  2
Rclass2mom       88 232   1.00000  2
##--------------------------------------------
##
## Parameters for 231Ra
##
## Level density
##
a                88 231  32.20954
aadjust          88 231   1.00000
gammald          88 231   0.07481
pair             88 231   0.78954
Pshift           88 231   0.00000   0
Pshiftadjust     88 231   0.00000   0
deltaW           88 231   4.31800   0
T                88 231   0.33933   0
E0               88 231  -0.17224   0
Exmatch          88 231   3.25833   0
Tadjust          88 231   1.00000   0
E0adjust         88 231   1.00000   0
Exmatchadjust    88 231   1.00000   0
Ntop             88 231  18   0
Nlow             88 231   4   0
s2adjust         88 231   1.00000   0
ctable           88 231   0.00000
ptable           88 231   0.00000
Krotconstant     88 231   1.00000   0
Pshift           88 231   0.00000   1
Pshiftadjust     88 231   0.00000   1
deltaW           88 231   2.87866   1
T                88 231   0.48315   1
E0               88 231  -1.82809   1
Exmatch          88 231   5.76140   1
Tadjust          88 231   1.00000   1
E0adjust         88 231   1.00000   1
Exmatchadjust    88 231   1.00000   1
Ntop             88 231   9   1
Nlow             88 231   2   1
s2adjust         88 231   1.00000   1
ctable           88 231   0.00000
ptable           88 231   0.00000
Krotconstant     88 231   1.00000   1
Pshift           88 231   0.00000   2
Pshiftadjust     88 231   0.00000   2
deltaW           88 231   2.87866   2
T                88 231   0.51543   2
E0               88 231  -2.37808   2
Exmatch          88 231   6.48330   2
Tadjust          88 231   1.00000   2
E0adjust         88 231   1.00000   2
Exmatchadjust    88 231   1.00000   2
Ntop             88 231  17   2
Nlow             88 231   2   2
s2adjust         88 231   1.00000   2
ctable           88 231   0.00000
ptable           88 231   0.00000
Krotconstant     88 231   1.00000   2
g                88 231  15.40000
gp               88 231   5.86667
gn               88 231   9.53333
gnadjust         88 231   1.00000
gpadjust         88 231   1.00000
##
## Gamma-ray
##
gamgam           88 231   0.03000
gamgamadjust     88 231   1.00000
sgr              88 231 675.458 E1
egr              88 231  13.401 E1
ggr              88 231   3.697 E1
sgradjust        88 231   1.000 E1
egradjust        88 231   1.000 E1
ggradjust        88 231   1.000 E1
sgr              88 231   1.057 M1
egr              88 231   6.682 M1
ggr              88 231   4.000 M1
sgradjust        88 231   1.000 M1
egradjust        88 231   1.000 M1
ggradjust        88 231   1.000 M1
sgr              88 231   0.544 E2
egr              88 231  10.268 E2
ggr              88 231   3.338 E2
sgradjust        88 231   1.000 E2
egradjust        88 231   1.000 E2
ggradjust        88 231   1.000 E2
sgr              88 231   0.001 M2
egr              88 231   6.682 M2
ggr              88 231   4.000 M2
sgradjust        88 231   1.000 M2
egradjust        88 231   1.000 M2
ggradjust        88 231   1.000 M2
##
## Fission parameters
##
fisbar           88 231   4.40000  1
fishw            88 231   1.00000  1
fisbaradjust     88 231   1.00000  1
fishwadjust      88 231   1.00000  1
class2width      88 231   0.20000  1
Rtransmom        88 231   0.60000  1
Rclass2mom       88 231   1.00000  1
fisbar           88 231   9.50000  2
fishw            88 231   0.60000  2
fisbaradjust     88 231   1.00000  2
fishwadjust      88 231   1.00000  2
Rtransmom        88 231   1.00000  2
Rclass2mom       88 231   1.00000  2
##--------------------------------------------
##
## General parameters
##
## Level density
##
alphald           0.06660
betald            0.25800
gammashell1       0.45900
gammashell2       0.00000
pairconstant     12.00000
pshiftconstant    0.00000
Rspincut          1.00000
cglobal         1.00000E-20
pglobal         1.00000E-20
Ufermi           30.00000
cfermi            5.00000
Ufermibf         45.00000
cfermibf          5.00000
Kph              15.00000
##
## Gamma-ray
##
gnorm            21.05812
xscaptherm      2.68000E+03
##
## Pre-equilibrium
##
M2constant        1.00000
M2limit           1.00000
M2shift           1.00000
