                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.448  3.54E+03 2.25E+03 2.25E+04 7.01E+01 1.97E+02 2.90E+02 3.37E+02 3.37E+02 3.01E+02 2.44E+02 1.82E+02 1.25E+02 7.92E+01 4.68E+01 2.57E+01 1.32E+01 6.29E+00 2.81E+00 1.17E+00 4.57E-01 1.67E-01 5.71E-02 1.83E-02 5.49E-03 1.54E-03 4.06E-04 1.00E-04 2.32E-05 5.04E-06 1.03E-06 1.96E-07 3.50E-08 5.89E-09
   3.50  0.465  5.18E+03 3.29E+03 3.37E+04 9.84E+01 2.78E+02 4.11E+02 4.80E+02 4.85E+02 4.39E+02 3.61E+02 2.74E+02 1.92E+02 1.25E+02 7.55E+01 4.26E+01 2.25E+01 1.11E+01 5.14E+00 2.23E+00 9.06E-01 3.46E-01 1.24E-01 4.16E-02 1.31E-02 3.89E-03 1.08E-03 2.83E-04 6.97E-05 1.61E-05 3.50E-06 7.16E-07 1.38E-07 2.49E-08
   3.75  0.482  7.59E+03 4.82E+03 5.02E+04 1.38E+02 3.92E+02 5.82E+02 6.84E+02 6.98E+02 6.39E+02 5.34E+02 4.11E+02 2.93E+02 1.95E+02 1.21E+02 7.00E+01 3.80E+01 1.93E+01 9.24E+00 4.15E+00 1.75E+00 6.95E-01 2.59E-01 9.11E-02 3.01E-02 9.37E-03 2.75E-03 7.59E-04 1.97E-04 4.84E-05 1.12E-05 2.43E-06 4.99E-07 9.66E-08
   4.00  0.497  1.11E+04 7.05E+03 7.49E+04 1.95E+02 5.53E+02 8.24E+02 9.77E+02 1.00E+03 9.30E+02 7.87E+02 6.15E+02 4.46E+02 3.02E+02 1.91E+02 1.14E+02 6.33E+01 3.32E+01 1.63E+01 7.57E+00 3.31E+00 1.36E+00 5.28E-01 1.93E-01 6.68E-02 2.17E-02 6.69E-03 1.94E-03 5.32E-04 1.38E-04 3.36E-05 7.76E-06 1.69E-06 3.48E-07
   4.25  0.513  1.63E+04 1.03E+04 1.12E+05 2.75E+02 7.81E+02 1.17E+03 1.39E+03 1.45E+03 1.35E+03 1.16E+03 9.17E+02 6.77E+02 4.66E+02 3.01E+02 1.83E+02 1.04E+02 5.61E+01 2.84E+01 1.36E+01 6.13E+00 2.61E+00 1.05E+00 3.99E-01 1.43E-01 4.87E-02 1.57E-02 4.76E-03 1.37E-03 3.72E-04 9.58E-05 2.34E-05 5.38E-06 1.18E-06
   4.50  0.528  2.38E+04 1.51E+04 1.66E+05 3.89E+02 1.11E+03 1.66E+03 1.99E+03 2.08E+03 1.96E+03 1.70E+03 1.36E+03 1.02E+03 7.15E+02 4.70E+02 2.91E+02 1.70E+02 9.33E+01 4.85E+01 2.38E+01 1.10E+01 4.84E+00 2.01E+00 7.91E-01 2.95E-01 1.04E-01 3.47E-02 1.10E-02 3.30E-03 9.38E-04 2.53E-04 6.46E-05 1.57E-05 3.60E-06
   4.75  0.542  3.48E+04 2.19E+04 2.44E+05 5.50E+02 1.57E+03 2.36E+03 2.84E+03 2.99E+03 2.84E+03 2.47E+03 2.00E+03 1.52E+03 1.07E+03 7.16E+02 4.50E+02 2.66E+02 1.49E+02 7.89E+01 3.95E+01 1.87E+01 8.41E+00 3.58E+00 1.44E+00 5.52E-01 2.00E-01 6.89E-02 2.25E-02 6.96E-03 2.05E-03 5.72E-04 1.51E-04 3.81E-05 9.10E-06
   5.00  0.556  5.05E+04 3.15E+04 3.56E+05 7.73E+02 2.21E+03 3.33E+03 4.03E+03 4.25E+03 4.06E+03 3.57E+03 2.91E+03 2.23E+03 1.60E+03 1.08E+03 6.86E+02 4.12E+02 2.34E+02 1.26E+02 6.44E+01 3.11E+01 1.43E+01 6.21E+00 2.56E+00 1.00E+00 3.74E-01 1.32E-01 4.44E-02 1.42E-02 4.29E-03 1.24E-03 3.39E-04 8.83E-05 2.18E-05
   5.50  0.583  1.14E+05 6.39E+04 7.37E+05 1.50E+03 4.28E+03 6.49E+03 7.89E+03 8.40E+03 8.12E+03 7.23E+03 6.00E+03 4.66E+03 3.41E+03 2.35E+03 1.53E+03 9.47E+02 5.54E+02 3.08E+02 1.62E+02 8.13E+01 3.87E+01 1.75E+01 7.54E+00 3.09E+00 1.20E+00 4.47E-01 1.58E-01 5.31E-02 1.70E-02 5.19E-03 1.51E-03 4.18E-04 1.10E-04
   6.00  0.609  2.40E+05 1.26E+05 1.48E+06 2.82E+03 8.09E+03 1.23E+04 1.51E+04 1.62E+04 1.58E+04 1.42E+04 1.19E+04 9.43E+03 7.01E+03 4.93E+03 3.29E+03 2.08E+03 1.25E+03 7.10E+02 3.85E+02 1.99E+02 9.79E+01 4.59E+01 2.05E+01 8.72E+00 3.54E+00 1.37E+00 5.06E-01 1.78E-01 5.99E-02 1.92E-02 5.88E-03 1.72E-03 4.80E-04
   6.50  0.634  4.81E+05 2.41E+05 2.89E+06 5.21E+03 1.50E+04 2.28E+04 2.81E+04 3.03E+04 2.98E+04 2.71E+04 2.31E+04 1.85E+04 1.40E+04 9.98E+03 6.78E+03 4.37E+03 2.68E+03 1.57E+03 8.71E+02 4.62E+02 2.34E+02 1.13E+02 5.21E+01 2.29E+01 9.65E+00 3.88E+00 1.49E+00 5.46E-01 1.91E-01 6.42E-02 2.06E-02 6.30E-03 1.85E-03
   7.00  0.658  9.31E+05 4.50E+05 5.51E+06 9.41E+03 2.71E+04 4.15E+04 5.12E+04 5.56E+04 5.51E+04 5.06E+04 4.35E+04 3.53E+04 2.70E+04 1.96E+04 1.35E+04 8.88E+03 5.56E+03 3.31E+03 1.89E+03 1.03E+03 5.32E+02 2.64E+02 1.25E+02 5.69E+01 2.47E+01 1.03E+01 4.08E+00 1.55E+00 5.65E-01 1.97E-01 6.57E-02 2.10E-02 6.43E-03
   7.50  0.681  1.76E+06 8.25E+05 1.03E+07 1.67E+04 4.81E+04 7.39E+04 9.15E+04 1.00E+05 9.98E+04 9.24E+04 8.02E+04 6.56E+04 5.09E+04 3.75E+04 2.62E+04 1.75E+04 1.11E+04 6.77E+03 3.94E+03 2.19E+03 1.16E+03 5.91E+02 2.88E+02 1.34E+02 5.99E+01 2.56E+01 1.05E+01 4.13E+00 1.55E+00 5.61E-01 1.94E-01 6.45E-02 2.05E-02
   8.00  0.704  3.24E+06 1.48E+06 1.87E+07 2.91E+04 8.39E+04 1.29E+05 1.61E+05 1.77E+05 1.77E+05 1.65E+05 1.45E+05 1.20E+05 9.37E+04 6.98E+04 4.96E+04 3.36E+04 2.17E+04 1.34E+04 7.95E+03 4.50E+03 2.44E+03 1.27E+03 6.33E+02 3.02E+02 1.38E+02 6.09E+01 2.57E+01 1.04E+01 4.03E+00 1.50E+00 5.38E-01 1.85E-01 6.10E-02
   8.50  0.725  5.86E+06 2.62E+06 3.35E+07 4.99E+04 1.44E+05 2.23E+05 2.78E+05 3.06E+05 3.09E+05 2.90E+05 2.56E+05 2.14E+05 1.69E+05 1.27E+05 9.16E+04 6.28E+04 4.12E+04 2.59E+04 1.56E+04 8.99E+03 4.97E+03 2.64E+03 1.34E+03 6.55E+02 3.07E+02 1.38E+02 5.99E+01 2.49E+01 9.94E+00 3.81E+00 1.41E+00 4.99E-01 1.70E-01
   9.00  0.746  1.04E+07 4.55E+06 5.90E+07 8.44E+04 2.44E+05 3.78E+05 4.73E+05 5.23E+05 5.31E+05 5.02E+05 4.46E+05 3.75E+05 2.99E+05 2.28E+05 1.66E+05 1.15E+05 7.65E+04 4.88E+04 2.98E+04 1.75E+04 9.82E+03 5.31E+03 2.75E+03 1.37E+03 6.58E+02 3.03E+02 1.34E+02 5.72E+01 2.34E+01 9.23E+00 3.50E+00 1.28E+00 4.48E-01
   9.50  0.767  1.82E+07 7.79E+06 1.02E+08 1.41E+05 4.08E+05 6.32E+05 7.93E+05 8.82E+05 8.98E+05 8.54E+05 7.64E+05 6.47E+05 5.21E+05 4.01E+05 2.94E+05 2.07E+05 1.39E+05 8.98E+04 5.56E+04 3.31E+04 1.89E+04 1.04E+04 5.49E+03 2.79E+03 1.36E+03 6.41E+02 2.90E+02 1.26E+02 5.30E+01 2.14E+01 8.32E+00 3.11E+00 1.12E+00
  10.00  0.787  3.13E+07 1.31E+07 1.75E+08 2.32E+05 6.72E+05 1.04E+06 1.31E+06 1.47E+06 1.50E+06 1.43E+06 1.29E+06 1.10E+06 8.93E+05 6.92E+05 5.13E+05 3.64E+05 2.48E+05 1.62E+05 1.02E+05 6.14E+04 3.56E+04 1.99E+04 1.07E+04 5.51E+03 2.74E+03 1.31E+03 6.07E+02 2.70E+02 1.16E+02 4.78E+01 1.90E+01 7.29E+00 2.70E+00
  11.00  0.825  1.03E+08 3.61E+07 4.91E+08 6.09E+05 1.77E+06 2.75E+06 3.48E+06 3.91E+06 4.03E+06 3.88E+06 3.53E+06 3.05E+06 2.51E+06 1.98E+06 1.49E+06 1.08E+06 7.49E+05 5.00E+05 3.21E+05 1.99E+05 1.18E+05 6.79E+04 3.76E+04 2.00E+04 1.03E+04 5.11E+03 2.44E+03 1.13E+03 5.03E+02 2.16E+02 8.97E+01 3.59E+01 1.39E+01
  12.00  0.862  2.93E+08 9.46E+07 1.31E+09 1.53E+06 4.46E+06 6.96E+06 8.83E+06 9.97E+06 1.04E+07 1.01E+07 9.24E+06 8.07E+06 6.73E+06 5.37E+06 4.11E+06 3.02E+06 2.13E+06 1.45E+06 9.52E+05 6.02E+05 3.67E+05 2.16E+05 1.22E+05 6.70E+04 3.55E+04 1.81E+04 8.94E+03 4.26E+03 1.96E+03 8.75E+02 3.77E+02 1.57E+02 6.30E+01
  13.00  0.897  7.69E+08 2.38E+08 3.37E+09 3.73E+06 1.08E+07 1.70E+07 2.16E+07 2.45E+07 2.56E+07 2.51E+07 2.32E+07 2.05E+07 1.72E+07 1.39E+07 1.08E+07 8.05E+06 5.78E+06 4.00E+06 2.67E+06 1.72E+06 1.07E+06 6.42E+05 3.73E+05 2.09E+05 1.13E+05 5.95E+04 3.02E+04 1.48E+04 7.03E+03 3.23E+03 1.44E+03 6.18E+02 2.57E+02
  14.00  0.931  1.93E+09 5.80E+08 8.35E+09 8.76E+06 2.55E+07 4.00E+07 5.11E+07 5.82E+07 6.12E+07 6.03E+07 5.62E+07 5.00E+07 4.25E+07 3.47E+07 2.72E+07 2.06E+07 1.50E+07 1.05E+07 7.13E+06 4.67E+06 2.96E+06 1.81E+06 1.07E+06 6.15E+05 3.41E+05 1.83E+05 9.52E+04 4.79E+04 2.34E+04 1.10E+04 5.05E+03 2.24E+03 9.61E+02
